stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code,state
G214632,,Wentworth Av Before Station Rd,-33.78439955,150.95381704,1,,0,,,NSW
G2164278,,"Smithfield Fire Station, The Horsley Dr",-33.85085576,150.92282855,1,,0,,,NSW
G216517,,Smart St Opp Fairfield Police Station,-33.87003277,150.95599543,1,,0,,,NSW
G216568,,Fairfield Heights Public School Station St,-33.86542737,150.94029286,1,,0,,,NSW
G216571,,Station St At Sackville St,-33.86682918,150.94969030,1,,0,,,NSW
G216574,,Station St After Sackville St,-33.86666273,150.94841879,1,,0,,,NSW
G216575,,Station St Near Granville St,-33.86636650,150.94669843,1,,0,,,NSW
G216576,,Station St Near Marlborough St,-33.86598023,150.94413138,1,,0,,,NSW
G2166101,,Hungry Jacks And Bp Service Station,-33.89946988,150.92058309,1,,0,,,NSW
G2166132,,"Cabramatta Fire Station, Joseph St",-33.88864252,150.92300422,1,,0,,,NSW
G2166190,,"Bradbury Wharf, Silverwater Cres",-33.90082808,150.95471781,1,,0,,,NSW
G2166201,,Silverwater Cres Opp Bradbury Wharf,-33.90090078,150.95441860,1,,0,,,NSW
G2170145,,Bp Service Station Nuwarra Rd,-33.92980907,150.95549682,1,,0,,,NSW
G2170191,,Mobil Service Station Town View Rd,-33.89737979,150.91236115,1,,0,,,NSW
G2170693,,"Warwick Farm Station, Hume Hwy",-33.91214831,150.93581989,1,,0,,,NSW
G217715,,Gloucester St Opp Bonnyrigg Fire Station,-33.88944026,150.86133265,1,,0,,,NSW
G217728,,"Bonnyrigg Fire Station, Gloucester St",-33.88933348,150.86157635,1,,0,,,NSW
G221419,,Ashford Village And Bp Service Station,-33.93788028,150.98987088,1,,0,,,NSW
G2234116,,"Menai Ambulance Station, Menai Rd",-34.01590390,151.01254602,1,,0,,,NSW
200080,,Wynyard Station,-33.86594489,151.20610310,1,,0,,,NSW
206010,,North Sydney Station,-33.84115005,151.20741233,1,,0,,,NSW
206044,,Victoria Cross Station,-33.83772725,151.20738465,1,,0,,,NSW
206110,,Milsons Point Station,-33.84593610,151.21183697,1,,0,,,NSW
206516,,Crows Nest Station,-33.82562030,151.19913651,1,,0,,,NSW
206520,,St Leonards Station,-33.82223190,151.19413439,1,,0,,,NSW
207710,,Waitara Station,-33.71036513,151.10494081,1,,0,,,NSW
207730,,Asquith Station,-33.68852348,151.10820109,1,,0,,,NSW
207910,,Mount Colah Station,-33.67174586,151.11469754,1,,0,,,NSW
208010,,Mount Kuring-gai Station,-33.65358907,151.13682391,1,,0,,,NSW
208110,,Berowra Station,-33.62338518,151.15323454,1,,0,,,NSW
211310,,Macquarie University Station,-33.77728198,151.11826703,1,,0,,,NSW
211340,,Macquarie Park Station,-33.78507995,151.12837418,1,,0,,,NSW
211750,,Telopea Light Rail,-33.79440601,151.04114725,1,,0,,,NSW
2118249,,Carlingford Light Rail,-33.78197129,151.04718770,1,,0,,,NSW
211910,,Beecroft Station,-33.74927233,151.06660668,1,,0,,,NSW
212020,,Pennant Hills Station,-33.73791201,151.07255151,1,,0,,,NSW
212110,,Epping Station,-33.77283671,151.08208231,1,,0,,,NSW
212210,,Eastwood Station,-33.79030086,151.08229721,1,,0,,,NSW
2126158,,Cherrybrook Station,-33.73665917,151.03199446,1,,0,,,NSW
214010,,Homebush Station,-33.86668795,151.08619478,1,,0,,,NSW
214020,,Flemington Station,-33.86491214,151.07017841,1,,0,,,NSW
214510,,Westmead Station,-33.80847754,150.98789237,1,,0,,,NSW
214520,,Wentworthville Station,-33.80706891,150.97236952,1,,0,,,NSW
214530,,Pendle Hill Station,-33.80120445,150.95608040,1,,0,,,NSW
214820,,Marayong Station,-33.74609965,150.90017109,1,,0,,,NSW
2150149,,Prince Alfred Square Light Rail,-33.80906745,151.00525566,1,,0,,,NSW
222910,,Caringbah Station,-34.04157831,151.12202571,1,,0,,,NSW
223020,,Cronulla Station,-34.05578475,151.15149843,1,,0,,,NSW
275020,,Emu Plains Station,-33.74572534,150.67142718,1,,0,,,NSW
275610,,Mulgrave Station,-33.62651620,150.83003584,1,,0,,,NSW
275630,,Clarendon Station,-33.60858478,150.78789489,1,,0,,,NSW
276520,,Vineyard Station,-33.65030770,150.85115431,1,,0,,,NSW
2768131,,"Bella Vista Station, North West Tway",-33.73297777,150.94299766,1,,0,,,NSW
G212027,,Pennant Hills Rd At Station St,-33.73187879,151.07979343,1,,0,,,NSW
G2145103,,Dunmore St Opp Wentworthville Station,-33.80786737,150.97164007,1,,0,,,NSW
G2145119,,Smith St After Station St,-33.81295709,150.97000810,1,,0,,,NSW
G2147240,,Abbott Rd Before Station Rd,-33.76802519,150.94514417,1,,0,,,NSW
G2147263,,Station Rd After Powers Rd,-33.77324032,150.94408875,1,,0,,,NSW
G2147265,,Station Rd After Abbott Rd,-33.76988234,150.94342752,1,,0,,,NSW
G2147266,,Station Rd After Park Rd,-33.77205468,150.94396959,1,,0,,,NSW
G2147267,,Powers Rd After Station Rd,-33.77390628,150.94524150,1,,0,,,NSW
200050,,St James Station,-33.87062216,151.21186309,1,,0,,,NSW
200952,,Fish Market Light Rail,-33.87089194,151.19235857,1,,0,,,NSW
20601,,McMahons Point Wharf,-33.84865793,151.20628004,1,,0,,,NSW
206020,,Waverton Station,-33.83761830,151.19738129,1,,0,,,NSW
206410,,Artarmon Station,-33.80854241,151.18470089,1,,0,,,NSW
206510,,Wollstonecraft Station,-33.83194479,151.19174851,1,,0,,,NSW
206710,,Chatswood Station,-33.79723668,151.18093364,1,,0,,,NSW
206910,,Roseville Station,-33.78443617,151.17766673,1,,0,,,NSW
207010,,Lindfield Station,-33.77552136,151.16927068,1,,0,,,NSW
207310,,Pymble Station,-33.74477962,151.14226141,1,,0,,,NSW
207620,,Normanhurst Station,-33.72082663,151.09707210,1,,0,,,NSW
211099,,Woolwich Wharf,-33.83859616,151.17605072,1,,0,,,NSW
